"ExhibitionID","ExhibitionNumber","ExhibitionTitle","ExhibitionCitationDate","ExhibitionBeginDate","ExhibitionEndDate","ExhibitionSortOrder","ExhibitionURL","ExhibitionRole","ExhibitionRoleinPressRelease","ConstituentID","ConstituentType","DisplayName","AlphaSort","FirstName","MiddleName","LastName","Suffix","Institution","Nationality","ConstituentBeginDate","ConstituentEndDate","ArtistBio","Gender","VIAFID","WikidataID","ULANID","ConstituentURL","Year","Count"
10600,"No#","Visual Analysis of the Painting by Picasso - Seated Man - 1911","[MoMA Exh. #NN1, January 1-January 30, 1940]",1940-01-01,"1/30/1940",138.1,"","Artist","Artist",4609,"Individual","Pablo Picasso","Picasso Pablo","Pablo","","Picasso","","","Spanish",1881,1973,"Spanish, 1881–1973","Male",15873,"Q5593",500009666,"moma.org/artists/4609",1940,1
2751,"94","Paintings and Sculpture from the Museum Collection","[MoMA Exh. #94, January 12-March 3, 1940]",1940-01-12,"3/3/1940",139,"moma.org/calendar/exhibitions/2866","Artist","Artist",11,"Individual","Jean (Hans) Arp","Arp Jean (Hans)","Jean","","Arp","","","French",1886,1966,"French, born Germany (Alsace). 1886–1966","Male",7386175,"Q153739",500031000,"moma.org/artists/11",1940,55
3071,"95","Smithsonian Competition","[MoMA Exh. #95, January 12-March 3, 1940]",1940-01-12,"3/3/1940",140,"moma.org/calendar/exhibitions/2976","Competition Judge","Competition Judge",NA,"Individual","Frederic A. Delano","Delano Frederic A.","Frederic","A.","Delano","","","",NA,NA,"","",NA,"",NA,"",1940,25
2885,"96","Twelve Favorites: Paintings Selected by Students from the Museum Collection","[MoMA Exh. #96, January 31-March 1, 1940]",1940-01-31,"3/1/1940",141,"moma.org/calendar/exhibitions/2911","Artist","Artist",1053,"Individual","Paul Cézanne","Cézanne Paul","Paul","","Cézanne","","","French",1839,1906,"French, 1839–1906","Male",39374836,"Q35548",500004793,"moma.org/artists/1053",1940,5
3072,"96a","Paris at War: 16 Gouaches by Bernard Lamotte","[MoMA Exh. #96a, Early 1940-specific opening or closing dates unknown]",1940-01-01,"",142,"moma.org/calendar/exhibitions/2977","Artist","Artist",64243,"Individual","Bernard Lamotte","Lamotte Bernard","Bernard","","Lamotte","","","",1903,NA,"born 1903","",50743789,"",NA,"moma.org/artists/64243",1940,1
2592,"97","Modern Masters from European and American Collections","[MoMA Exh. #97, January 26-March 24, 1940]",1940-01-26,"3/24/1940",143,"moma.org/calendar/exhibitions/2796","Installer","Installer",19286,"Individual","Dorothy C. Miller","Miller Dorothy C.","Dorothy","Canning","Miller","","","American",1904,2003,"American, 1904–2003","Female",111290627,"Q5298349",500322604,"moma.org/artists/19286",1940,26
3073,"98","Italian Masters","[MoMA Exh. #98, January 26-April 7, 1940]",1940-01-26,"4/7/1940",144,"moma.org/calendar/exhibitions/2978","Curator","Assistant Curator",NA,"Individual","Brandi Cesare","Brandi Cesare","Cesare","","Brandi","","","",NA,NA,"","",27077893,"Q1056780",500255375,"",1940,30
3074,"99","Four American Traveling Exhibitions","[MoMA Exh. #99, April 3-April 28, 1940]",1940-04-03,"4/28/1940",145,"moma.org/calendar/exhibitions/2979","Curator","Director",19286,"Individual","Dorothy C. Miller","Miller Dorothy C.","Dorothy","Canning","Miller","","","American",1904,2003,"American, 1904–2003","Female",111290627,"Q5298349",500322604,"moma.org/artists/19286",1940,55
3075,"100","Preview: Dance Archives","[MoMA Exh. #100, March 6-April 7, 1940]",1940-03-06,"4/7/1940",146,"moma.org/calendar/exhibitions/2980","Artist","Artist",64414,"Individual","Etienne de Beaumont","Beaumont Etienne de","Etienne","de","Beaumont","","","",NA,NA,"","",42105670,"Q15918424",NA,"moma.org/artists/64414",1940,7
3076,"101","Visual and Non-Visual Expression in Art","[MoMA Exh. #101, March 6-May 1, 1940]",1940-03-06,"5/1/1940",147,"moma.org/calendar/exhibitions/2981","Curator","Assembler",NA,"Individual","Viktor Lowenfeld","Lowenfeld Viktor","Viktor","","Lowenfeld","","","",NA,NA,"","",80567053,"Q5658121",NA,"",1940,1
